query-id	corpus-id	score
55031181e9bde69634000014	15829955	1
55031181e9bde69634000014	6650562	1
55031181e9bde69634000014	12239580	1
55031181e9bde69634000014	21995290	1
55031181e9bde69634000014	23001136	1
55031181e9bde69634000014	15617541	1
55031181e9bde69634000014	8896569	1
55031181e9bde69634000014	20598273	1
55046d5ff8aee20f27000007	23959273	1
55046d5ff8aee20f27000007	21514161	1
55046d5ff8aee20f27000007	23787814	1
55046d5ff8aee20f27000007	23888072	1
55046d5ff8aee20f27000007	23821377	1
55046d5ff8aee20f27000007	24124521	1
55046d5ff8aee20f27000007	22260327	1
55046d5ff8aee20f27000007	24204699	1
55046d5ff8aee20f27000007	24323361	1
55046d5ff8aee20f27000007	23089711	1
55046d5ff8aee20f27000007	23399900	1
55046d5ff8aee20f27000007	23382875	1
55046d5ff8aee20f27000007	23729230	1
55046d5ff8aee20f27000007	23212918	1
55046d5ff8aee20f27000007	23099994	1
55046d5ff8aee20f27000007	22247333	1
54e25eaaae9738404b000017	3320045	1
54e25eaaae9738404b000017	7515725	1
54e25eaaae9738404b000017	20805556	1
54e25eaaae9738404b000017	19297413	1
54e25eaaae9738404b000017	19724244	1
54e25eaaae9738404b000017	15094122	1
54e25eaaae9738404b000017	12666201	1
54e25eaaae9738404b000017	21784067	1
54e25eaaae9738404b000017	11076767	1
54e25eaaae9738404b000017	15094110	1
535d292a9a4572de6f000003	22955988	1
535d292a9a4572de6f000003	22955974	1
535d292a9a4572de6f000003	24285305	1
535d292a9a4572de6f000003	22707570	1
535d292a9a4572de6f000003	21622663	1
535d292a9a4572de6f000003	24106460	1
55262a9787ecba3764000009	22948539	1
55262a9787ecba3764000009	23698708	1
55262a9787ecba3764000009	23827649	1
55262a9787ecba3764000009	22901753	1
55262a9787ecba3764000009	21618594	1
55262a9787ecba3764000009	23835909	1
55262a9787ecba3764000009	23632157	1
55262a9787ecba3764000009	24265865	1
55262a9787ecba3764000009	24267510	1
55262a9787ecba3764000009	22867712	1
51406e6223fec90375000009	23264396	1
51406e6223fec90375000009	21633823	1
51406e6223fec90375000009	23554450	1
51406e6223fec90375000009	23244059	1
51406e6223fec90375000009	21041167	1
51406e6223fec90375000009	21748540	1
51406e6223fec90375000009	23072197	1
51406e6223fec90375000009	21468525	1
51406e6223fec90375000009	23154888	1
51406e6223fec90375000009	21435090	1
553fa78b1d53b76422000007	21345725	1
553fa78b1d53b76422000007	22246341	1
553fa78b1d53b76422000007	23888941	1
553fa78b1d53b76422000007	23836287	1
553fa78b1d53b76422000007	23542579	1
553fa78b1d53b76422000007	23978303	1
553fa78b1d53b76422000007	20035894	1
553fa78b1d53b76422000007	19074899	1
553fa78b1d53b76422000007	21571355	1
553fa78b1d53b76422000007	18954897	1
553fa78b1d53b76422000007	23918241	1
553fa78b1d53b76422000007	21971665	1
553fa78b1d53b76422000007	23272653	1
553fa78b1d53b76422000007	23621186	1
5149199dd24251bc05000040	21815707	1
5149199dd24251bc05000040	21845054	1
5149199dd24251bc05000040	21328290	1
5149199dd24251bc05000040	20663605	1
5149199dd24251bc05000040	21133188	1
5149199dd24251bc05000040	15610702	1
52bf1db603868f1b06000011	24126422	1
52bf1db603868f1b06000011	22826702	1
52bf1db603868f1b06000011	23759273	1
52bf1db603868f1b06000011	21785279	1
52bf1db603868f1b06000011	21113693	1
52bf1db603868f1b06000011	21129866	1
52bf1db603868f1b06000011	23956508	1
52bf1db603868f1b06000011	22716221	1
52bf1db603868f1b06000011	23757624	1
52bf1db603868f1b06000011	23367751	1
52bf1db603868f1b06000011	22074657	1
52bf1db603868f1b06000011	21170699	1
52bf1db603868f1b06000011	21942303	1
52bf1db603868f1b06000011	24114694	1
52bf1db603868f1b06000011	22540167	1
52bf1db603868f1b06000011	24308016	1
52bf1db603868f1b06000011	21208140	1
52bf1db603868f1b06000011	23652187	1
52bf1db603868f1b06000011	21470540	1
52bf1db603868f1b06000011	24316116	1
52bf1db603868f1b06000011	20811384	1
5709e4b2cf1c32585100001c	12883684	1
5709e4b2cf1c32585100001c	24040443	1
5709e4b2cf1c32585100001c	19618470	1
5709e4b2cf1c32585100001c	8817329	1
5709e4b2cf1c32585100001c	8856345	1
5709e4b2cf1c32585100001c	23836490	1
5709e4b2cf1c32585100001c	8149913	1
5709e4b2cf1c32585100001c	7958461	1
5709e4b2cf1c32585100001c	16457155	1
56bc751eac7ad10019000013	3819049	1
56bc751eac7ad10019000013	18775590	1
56bc751eac7ad10019000013	22146896	1
56bc751eac7ad10019000013	6225397	1
56bc751eac7ad10019000013	18672707	1
56bc751eac7ad10019000013	7796616	1
56bc751eac7ad10019000013	16435144	1
56bc751eac7ad10019000013	7640201	1
56bc751eac7ad10019000013	22252191	1
56bc751eac7ad10019000013	17097409	1
56bc751eac7ad10019000013	17374318	1
56bc751eac7ad10019000013	22470801	1
56bc751eac7ad10019000013	8949310	1
56bc751eac7ad10019000013	1521479	1
56bc751eac7ad10019000013	1433123	1
54d4e03a3706e89528000001	9803978	1
54d4e03a3706e89528000001	11564050	1
54d4e03a3706e89528000001	1290288	1
54d4e03a3706e89528000001	7875632	1
54d4e03a3706e89528000001	10810787	1
55072c803b8a5dc045000001	23028706	1
55072c803b8a5dc045000001	21639801	1
55072c803b8a5dc045000001	11532344	1
55072c803b8a5dc045000001	22842086	1
55072c803b8a5dc045000001	21356309	1
55072c803b8a5dc045000001	11732008	1
55072c803b8a5dc045000001	16307184	1
53061af558348c0f52000002	9624027	1
53061af558348c0f52000002	18976161	1
53061af558348c0f52000002	8824885	1
56c1f01def6e394741000045	24799061	1
56c1f01def6e394741000045	24418642	1
56c1f01def6e394741000045	25537627	1
56c1f01def6e394741000045	25701170	1
56c1f01def6e394741000045	25624429	1
56c1f01def6e394741000045	25264242	1
56c1f01def6e394741000045	21978946	1
56c1f01def6e394741000045	26150028	1
56c1f01def6e394741000045	24100689	1
5313b049e3eabad021000013	23294030	1
5313b049e3eabad021000013	10473102	1
5313b049e3eabad021000013	11786427	1
5313b049e3eabad021000013	17210707	1
5313b049e3eabad021000013	21364123	1
5313b049e3eabad021000013	12173324	1
5313b049e3eabad021000013	22322558	1
5313b049e3eabad021000013	16163160	1
5313b049e3eabad021000013	11236029	1
5313b049e3eabad021000013	10519379	1
5313b049e3eabad021000013	15264245	1
5313b049e3eabad021000013	20716957	1
5313b049e3eabad021000013	11502465	1
5313b049e3eabad021000013	15046685	1
5313b049e3eabad021000013	17211467	1
